240,28 08 1990,24.84,16.86,20.61,4771000,4641872,129128,180.71,6070
241,29 08 1990,26.89,15.21,21.06,4771000,4641872,129128,180.71,6070
242,30 08 1990,26.51,15.46,20.63,4771000,4641872,129128,180.71,6070
243,31 08 1990,26.85,16.97,20.34,4771000,4641872,129128,180.71,6070
244,1 09 1990,27.05,16.54,20.06,4771000,4641872,129128,180.71,6070
245,2 09 1990,22.01,15.57,18.54,4771000,4641872,129128,180.71,6070
246,3 09 1990,25.68,14.63,19.68,4771000,4641872,129128,180.71,6070
247,4 09 1990,26.24,14.85,19.79,4771000,4641872,129128,180.71,6070
248,5 09 1990,26.12,14.77,19.41,4771000,4641872,129128,180.71,6070
249,6 09 1990,26.56,13.9,20.2,4771000,4641872,129128,180.71,6070
250,7 09 1990,27.91,14.73,20.91,4771000,4641872,129128,180.71,6070
251,8 09 1990,28.53,16.19,22.03,4771000,4641872,129128,180.71,6070
252,9 09 1990,26.4,16.32,20.88,4771000,4641872,129128,180.71,6070
253,10 09 1990,25.16,16.18,19.9,4771000,4641872,129128,180.71,6070
254,11 09 1990,24.33,16.64,20.12,4771000,4641872,129128,180.71,6070
255,12 09 1990,26.83,15.34,20.27,4771000,4641872,129128,180.71,6070
256,13 09 1990,26.56,14.55,20.17,4771000,4641872,129128,180.71,6070
257,14 09 1990,27.71,14.6,21.12,4771000,4641872,129128,180.71,6070
258,15 09 1990,26.6,15.21,20.77,4771000,4641872,129128,180.71,6070
259,16 09 1990,27.42,15.83,20.91,4771000,4641872,129128,180.71,6070
260,17 09 1990,26.85,16.25,19.73,4771000,4641872,129128,180.71,6070
261,18 09 1990,25.55,16.42,19.95,4771000,4641872,129128,180.71,6070
262,19 09 1990,26.17,15.34,20.19,4771000,4641872,129128,180.71,6070
263,20 09 1990,26.47,15.07,20.57,4771000,4641872,129128,180.71,6070
264,21 09 1990,25.5,17.41,20.97,4771000,4641872,129128,180.71,6070
265,22 09 1990,27.66,17.56,21.97,4771000,4641872,129128,180.71,6070
266,23 09 1990,26.93,15.67,20.82,4771000,4641872,129128,180.71,6070
267,24 09 1990,26.07,16.84,20.99,4771000,4641872,129128,180.71,6070
268,25 09 1990,26.08,15.31,20.72,4771000,4641872,129128,180.71,6070
269,26 09 1990,25.3,16.55,20.35,4771000,4641872,129128,180.71,6070
270,27 09 1990,27.15,15.49,20.45,4771000,4641872,129128,180.71,6070
271,28 09 1990,25.75,15.52,20.09,4771000,4641872,129128,180.71,6070
272,29 09 1990,24.49,15.17,19.57,4771000,4641872,129128,180.71,6070
273,30 09 1990,23.23,16.68,19.34,4771000,4641872,129128,180.71,6070
274,1 10 1990,22.06,14.78,18.85,4771000,4641872,129128,180.71,6070
275,2 10 1990,24.73,15.15,19.58,4771000,4641872,129128,180.71,6070
276,3 10 1990,25.37,15.44,20.41,4771000,4641872,129128,180.71,6070
277,4 10 1990,25.93,14.99,20.27,4771000,4641872,129128,180.71,6070
278,5 10 1990,24.51,14.74,19.6,4771000,4641872,129128,180.71,6070
279,6 10 1990,25.68,16.13,20.74,4771000,4641872,129128,180.71,6070
280,7 10 1990,27.77,15.46,21.4,4771000,4641872,129128,180.71,6070
281,8 10 1990,27.66,15.75,21.82,4771000,4641872,129128,180.71,6070
282,9 10 1990,25.1,16.68,21.24,4771000,4641872,129128,180.71,6070
283,10 10 1990,25.87,15.63,19.59,4771000,4641872,129128,180.71,6070
284,11 10 1990,24.5,14.88,19.22,4771000,4641872,129128,180.71,6070
285,12 10 1990,26.21,15.52,19.89,4771000,4641872,129128,180.71,6070
286,13 10 1990,25.1,15.93,20.13,4771000,4641872,129128,180.71,6070
287,14 10 1990,25.66,16.66,20.25,4771000,4641872,129128,180.71,6070
288,15 10 1990,27.86,16.7,20.83,4771000,4641872,129128,180.71,6070
289,16 10 1990,24.54,16.07,19.93,4771000,4641872,129128,180.71,6070
290,17 10 1990,25.18,15.63,19.47,4771000,4641872,129128,180.71,6070
291,18 10 1990,23.23,16.24,18.59,4771000,4641872,129128,180.71,6070
292,19 10 1990,24.22,16.36,18.63,4771000,4641872,129128,180.71,6070
293,20 10 1990,25.03,16.22,20.21,4771000,4641872,129128,180.71,6070
294,21 10 1990,27.44,16.04,20.38,4771000,4641872,129128,180.71,6070
295,22 10 1990,26.31,15.31,20.32,4771000,4641872,129128,180.71,6070
296,23 10 1990,27.34,15.81,20.19,4771000,4641872,129128,180.71,6070
297,24 10 1990,26.4,16.71,20.57,4771000,4641872,129128,180.71,6070
298,25 10 1990,26.67,15.59,20.3,4771000,4641872,129128,180.71,6070
299,26 10 1990,26.51,15.43,20.12,4771000,4641872,129128,180.71,6070
300,27 10 1990,23.22,16.03,19.37,4771000,4641872,129128,180.71,6070
301,28 10 1990,23.42,17.05,19.28,4771000,4641872,129128,180.71,6070
302,29 10 1990,26.01,16.91,20.44,4771000,4641872,129128,180.71,6070
303,30 10 1990,26.35,16.2,20.71,4771000,4641872,129128,180.71,6070
304,31 10 1990,22.73,17.03,19.78,4771000,4641872,129128,180.71,6070
305,1 11 1990,24.35,15.93,20.13,4771000,4641872,129128,180.71,6070
306,2 11 1990,25.09,15.85,20.51,4771000,4641872,129128,180.71,6070
307,3 11 1990,25.19,16.31,20.08,4771000,4641872,129128,180.71,6070
308,4 11 1990,24.68,14.78,19.4,4771000,4641872,129128,180.71,6070
309,5 11 1990,26.61,16.91,20.79,4771000,4641872,129128,180.71,6070
310,6 11 1990,26.29,15.78,21.03,4771000,4641872,129128,180.71,6070
311,7 11 1990,26.41,16.75,20.43,4771000,4641872,129128,180.71,6070
312,8 11 1990,23.52,16.74,19.47,4771000,4641872,129128,180.71,6070
313,9 11 1990,23.57,16.16,19.58,4771000,4641872,129128,180.71,6070
314,10 11 1990,25.33,15.9,20.45,4771000,4641872,129128,180.71,6070
315,11 11 1990,25.42,14.37,19.88,4771000,4641872,129128,180.71,6070
316,12 11 1990,25.68,14.61,19.88,4771000,4641872,129128,180.71,6070
317,13 11 1990,24.3,14.97,19.51,4771000,4641872,129128,180.71,6070
318,14 11 1990,24.63,15.73,19.58,4771000,4641872,129128,180.71,6070
319,15 11 1990,23.34,15.92,19.48,4771000,4641872,129128,180.71,6070
320,16 11 1990,24.17,16.06,19.94,4771000,4641872,129128,180.71,6070
321,17 11 1990,24.49,16.23,20.49,4771000,4641872,129128,180.71,6070
322,18 11 1990,23.98,16.58,19.98,4771000,4641872,129128,180.71,6070
323,19 11 1990,25.51,15.34,20.36,4771000,4641872,129128,180.71,6070
324,20 11 1990,24.2,16.43,20.4,4771000,4641872,129128,180.71,6070
325,21 11 1990,24.31,16.19,20,4771000,4641872,129128,180.71,6070
326,22 11 1990,27.72,16.21,21.01,4771000,4641872,129128,180.71,6070
327,23 11 1990,26.96,16.21,21.44,4771000,4641872,129128,180.71,6070
328,24 11 1990,26.37,15.88,20.55,4771000,4641872,129128,180.71,6070
329,25 11 1990,26.9,15.93,21.41,4771000,4641872,129128,180.71,6070
330,26 11 1990,26.01,15.86,20.77,4771000,4641872,129128,180.71,6070
331,27 11 1990,25.42,16.51,20.66,4771000,4641872,129128,180.71,6070
332,28 11 1990,26.38,16.79,20.82,4771000,4641872,129128,180.71,6070
333,29 11 1990,26.84,17.04,20.88,4771000,4641872,129128,180.71,6070
334,30 11 1990,26.67,17.45,20.47,4771000,4641872,129128,180.71,6070
335,1 12 1990,24.12,17.62,19.24,4771000,4641872,129128,180.71,6070
336,2 12 1990,24.92,15.3,19.16,4771000,4641872,129128,180.71,6070
337,3 12 1990,27.2,15.48,20.06,4771000,4641872,129128,180.71,6070
338,4 12 1990,25.1,15.54,20.27,4771000,4641872,129128,180.71,6070
339,5 12 1990,25.47,15.91,20.7,4771000,4641872,129128,180.71,6070
